game,split,layer,prompt_echo_rate,unique_tokens
chameleon,discovery,0,0.08,50
chameleon,discovery,1,0.0,54
chameleon,discovery,2,0.0,52
chameleon,discovery,3,0.0,51
chameleon,discovery,4,0.0,50
chameleon,discovery,5,0.0,54
chameleon,discovery,6,0.0,52
chameleon,discovery,7,0.0,51
chameleon,discovery,8,0.0,52
chameleon,discovery,9,0.0,52
chameleon,discovery,10,0.0,53
chameleon,discovery,11,0.0,54
chameleon,discovery,12,0.0,52
chameleon,discovery,13,0.0,55
chameleon,discovery,14,0.015,55
chameleon,discovery,15,0.095,56
chameleon,discovery,16,0.04,55
chameleon,discovery,17,0.0,52
chameleon,discovery,18,0.0,52
chameleon,discovery,19,0.0,51
chameleon,discovery,20,0.0,51
chameleon,discovery,21,0.0,52
chameleon,discovery,22,0.0,52
chameleon,discovery,23,0.0,53
chameleon,discovery,24,0.0,53
chameleon,discovery,25,0.0,51
chameleon,discovery,26,0.0,53
chameleon,discovery,27,0.0,51
chameleon,discovery,28,0.0,54
chameleon,discovery,29,0.0,53
chameleon,discovery,30,0.0,53
chameleon,discovery,31,0.0,54
chameleon,discovery,32,0.0,53
chameleon,discovery,33,0.0,53
chameleon,discovery,34,0.0,53
chameleon,discovery,35,0.0,53
chameleon,discovery,36,0.0,51
chameleon,discovery,37,0.005,55
chameleon,discovery,38,0.01,53
chameleon,discovery,39,0.0,54
chameleon,discovery,40,0.025,53
chameleon,discovery,41,0.0,56
chameleon,discovery,42,0.015,61
chameleon,discovery,43,0.05,65
chameleon,discovery,44,0.025,76
chameleon,discovery,45,0.055,76
chameleon,discovery,46,0.03,66
chameleon,discovery,47,0.015,65
chameleon,discovery,48,0.0,62
chameleon,discovery,49,0.005,64
chameleon,discovery,50,0.0,62
chameleon,discovery,51,0.015,64
chameleon,discovery,52,0.015,69
chameleon,discovery,53,0.06,66
chameleon,discovery,54,0.025,71
chameleon,discovery,55,0.13,94
chameleon,discovery,56,0.14,86
chameleon,discovery,57,0.17,80
chameleon,discovery,58,0.17,74
chameleon,discovery,59,0.175,65
chameleon,discovery,60,0.175,69
chameleon,discovery,61,0.19,62
chameleon,discovery,62,0.51,71
chameleon,validation,0,0.08,51
chameleon,validation,1,0.0,51
chameleon,validation,2,0.0,53
chameleon,validation,3,0.0,51
chameleon,validation,4,0.0,51
chameleon,validation,5,0.0,51
chameleon,validation,6,0.0,51
chameleon,validation,7,0.0,54
chameleon,validation,8,0.0,53
chameleon,validation,9,0.0,52
chameleon,validation,10,0.0,57
chameleon,validation,11,0.0,54
chameleon,validation,12,0.0,54
chameleon,validation,13,0.0,56
chameleon,validation,14,0.01,57
chameleon,validation,15,0.045,58
chameleon,validation,16,0.06,56
chameleon,validation,17,0.0,60
chameleon,validation,18,0.0,57
chameleon,validation,19,0.0,55
chameleon,validation,20,0.02,54
chameleon,validation,21,0.035,54
chameleon,validation,22,0.0,52
chameleon,validation,23,0.0,55
chameleon,validation,24,0.0,53
chameleon,validation,25,0.0,53
chameleon,validation,26,0.0,53
chameleon,validation,27,0.0,52
chameleon,validation,28,0.0,52
chameleon,validation,29,0.0,53
chameleon,validation,30,0.0,53
chameleon,validation,31,0.0,51
chameleon,validation,32,0.0,58
chameleon,validation,33,0.0,53
chameleon,validation,34,0.0,54
chameleon,validation,35,0.0,53
chameleon,validation,36,0.0,51
chameleon,validation,37,0.02,51
chameleon,validation,38,0.02,52
chameleon,validation,39,0.02,55
chameleon,validation,40,0.045,53
chameleon,validation,41,0.0,54
chameleon,validation,42,0.005,57
chameleon,validation,43,0.08,62
chameleon,validation,44,0.005,57
chameleon,validation,45,0.075,64
chameleon,validation,46,0.035,61
chameleon,validation,47,0.02,67
chameleon,validation,48,0.015,59
chameleon,validation,49,0.02,63
chameleon,validation,50,0.0,61
chameleon,validation,51,0.03,66
chameleon,validation,52,0.02,69
chameleon,validation,53,0.02,67
chameleon,validation,54,0.02,70
chameleon,validation,55,0.12333333333333334,74
chameleon,validation,56,0.14,70
chameleon,validation,57,0.17333333333333334,73
chameleon,validation,58,0.185,74
chameleon,validation,59,0.185,68
chameleon,validation,60,0.18,70
chameleon,validation,61,0.22333333333333333,66
chameleon,validation,62,0.42833333333333334,70
cheap_talk,discovery,0,0.06,52
cheap_talk,discovery,1,0.0,51
cheap_talk,discovery,2,0.0,53
cheap_talk,discovery,3,0.0,51
cheap_talk,discovery,4,0.0,50
cheap_talk,discovery,5,0.0,53
cheap_talk,discovery,6,0.0,50
cheap_talk,discovery,7,0.0,51
cheap_talk,discovery,8,0.0,53
cheap_talk,discovery,9,0.0,52
cheap_talk,discovery,10,0.0,54
cheap_talk,discovery,11,0.0,53
cheap_talk,discovery,12,0.0,53
cheap_talk,discovery,13,0.0,52
cheap_talk,discovery,14,0.02,52
cheap_talk,discovery,15,0.07166666666666667,57
cheap_talk,discovery,16,0.03166666666666667,55
cheap_talk,discovery,17,0.0,52
cheap_talk,discovery,18,0.0,54
cheap_talk,discovery,19,0.0,55
cheap_talk,discovery,20,0.03333333333333333,51
cheap_talk,discovery,21,0.0,52
cheap_talk,discovery,22,0.0,52
cheap_talk,discovery,23,0.0,51
cheap_talk,discovery,24,0.0,51
cheap_talk,discovery,25,0.0,52
cheap_talk,discovery,26,0.0,53
cheap_talk,discovery,27,0.0,52
cheap_talk,discovery,28,0.0,53
cheap_talk,discovery,29,0.0,54
cheap_talk,discovery,30,0.0,52
cheap_talk,discovery,31,0.0,55
cheap_talk,discovery,32,0.0,55
cheap_talk,discovery,33,0.0,51
cheap_talk,discovery,34,0.0,52
cheap_talk,discovery,35,0.0,54
cheap_talk,discovery,36,0.0,52
cheap_talk,discovery,37,0.015,56
