accuracy,balanced_accuracy,game,kind,layer,n_test,n_train,representation,status,variable,correlation,mae,r2
0.16666666666666666,0.16666666666666666,inspection,categorical,-1,12,12,output,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,0,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,0,12,12,jspace,ok,private_state,,,
0.3333333333333333,0.3333333333333333,inspection,categorical,1,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,1,12,12,jspace,ok,private_state,,,
0.3333333333333333,0.3333333333333333,inspection,categorical,2,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,2,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,3,12,12,residual,ok,private_state,,,
0.25,0.25,inspection,categorical,3,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,4,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,4,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,5,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,5,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,6,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,6,12,12,jspace,ok,private_state,,,
0.3333333333333333,0.3333333333333333,inspection,categorical,7,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,7,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,8,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,8,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,9,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,9,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,10,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,10,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,11,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,11,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,12,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,12,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,13,12,12,residual,ok,private_state,,,
0.25,0.25,inspection,categorical,13,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,14,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,14,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,15,12,12,residual,ok,private_state,,,
0.3333333333333333,0.3333333333333333,inspection,categorical,15,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,16,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,16,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,17,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,17,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,18,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,18,12,12,jspace,ok,private_state,,,
0.3333333333333333,0.3333333333333333,inspection,categorical,19,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,19,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,20,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,20,12,12,jspace,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,21,12,12,residual,ok,private_state,,,
0.16666666666666666,0.16666666666666666,inspection,categorical,21,12,12,jspace,ok,private_state,,,
